รหัสโครงงาน,ชื่ออาจารย์ที่ปรึกษาโครงงาน,หัวข้อโครงงาน (ภาษาไทย),หัวข้อโครงงาน(ภาษาอังกฤษ),คลิปนำเสนอแบบสั้น (ไม่เกิน 5 นาที),คลิปนำเสนอแบบยาว (ไม่เกิน 20 นาที)
AAP-02,ผศ.ดร. อัจฉรา พิเชฐจำเริญ,การศึกษาการทำงานของแบตเตอรี่ในระบบผลิตกำลังไฟฟ้าด้วยแสงอาทิตย์,Study on Lithium Battery Performance in PV generation system,https://youtu.be/lZIzgHK0Wjw,https://youtu.be/NQphJQxB8iA
AAP03,ผศ.ดร. อัจฉรา พิเชฐจำเริญ,การออกแบบอุปกรณ์อัดประจุไฟฟ้าด้วยพลังงานแสงอาทิตย์โดยใช้คอนเวอร์เตอร์สองทิศทาง,Designing a PV Battery Charger using Bidirectional Converter,https://youtu.be/e4k5Ar6j0VI,https://youtu.be/LcgheskAoaM
CRM01,รศ.ดร.เชาวลิต มิตรสันติสุข,เครื่องทำอาหารอัตโนมัติโดยใช้ระบบควบคุมPLC ,Automatic Cooking Machine using PLC Control System,https://youtu.be/p2F9Y7ndjpY,https://youtu.be/pxogdSuHiCE
CRM-02,รศ.ดร.เชาวลิต มิตรสันติสุข,การออกแบบและการใช้งานหุ่นยนต์ทำอาหารที่ใช้ PLC สำหรับระบบอัตโนมัติในครัวอัจฉริยะ,Design and Implementation of a PLC - Based Cooking Robot for Intelligent Kitchen Automation,https://youtu.be/iaoPgAtjc9Q?si=UEJS3dymDjBw1mg6,https://youtu.be/RpRx3xMU-30?si=jc3-THrn5tUM8lM-
CRM-03,รศ.ดร.เชาวลิต มิตรสันติสุข,ศึกษาและออกแบบระบบส่งกำลังของรถ EV,Study and Design Powertrain for EV,https://youtu.be/OKQDZQCqAXQ,https://youtu.be/ogtWB4JMZ6k
DCW-01,ผศ.ดร.เด่นชัย วรเศวต,การวัดอัตตราการเต้นของหัวใจจากวิดิโอใบหน้าด้วยวิธีการเรียนรู้เชิงลึก,Heart rate estimation  by facial video using deep learning approach,https://youtu.be/VAt0u9G9iS0?si=gMamvNc550pw-y3U,https://youtu.be/jm8ERdciTzA?si=DYTEBAXPQCqQA3i1
DCW-02,ผศ.ดร.เด่นชัย วรเศวต,พลวัตของรถยนต์พลังงานไฟฟ้าไร้สายขนาดเล็กในเชิงวิศวกรรมไฟฟ้า,The Dynamic of Mini Wireless Electric Energy Car in Electrical Engineering,https://youtu.be/bhpVkcpvMNI?si=vKs1NLMj7T6kSASa,https://youtu.be/TRtpm_eTAqA?si=7PonB3fnTrQnTUoW
DUR-01,รศ.ดร.ดุลย์พิเชษฐ์ ฤกษ์ปรีดาพงศ์,การพยากรณ์โหลดยานยนต์ไฟฟ้าสำหรับการศึกษาระบบจำหน่าย,Electric vehicle load forecasting for distribution system studies,https://youtu.be/75ntmVBr2tA,https://youtu.be/Oyxf7naCQTE
KPSC-01,รศ.ดร.กาญจนพันธ์ สุขวิชชัย,การเรียนรู้เชิงลึกเพื่อหาค่าเกินที่ดีที่สุดสำหรับระบบควบคุมPID,PID optimal parameter turning using Deep Learning,https://youtu.be/XAbRmLvvYu0,https://youtu.be/txz2Ec0Jas4
KPSC-02,รศ.ดร.กาญจนพันธ์ สุขวิชชัย,หุ่นยนต์เดินสองขาเสมือนมนุษย์,Development of a two-leg humanoid robot,https://youtu.be/HVx_OOA0fWk,https://youtu.be/zQbJZ9b2H0w
KSH-01,รศ.ดร.คมสันต์ หงษ์สมบัติ,การจำลองและควบคุมโรงไฟฟ้าพลังงานความร้อนร่วม,Modeling and Control of Co-generation Power Plants,https://youtu.be/XGGZdydsnHY,https://youtu.be/t7KiKA3lUhM
