รหัสโครงงาน,ชื่ออาจารย์ที่ปรึกษาโครงงาน,หัวข้อโครงงาน (ภาษาไทย),หัวข้อโครงงาน(ภาษาอังกฤษ),คลิปนำเสนอแบบสั้น (ไม่เกิน 5 นาที),คลิปนำเสนอแบบยาว (ไม่เกิน 20 นาที)
KSH-03,ผศ.ดร.คมสันต์ หงษ์สมบัติ,การจำลองการซื้อขายพลังงานไฟฟ้าสำหรับตลาดดีมานด์เรสปอนส์,Simulation of Demand Response Market,shorturl.at/djoyS,shorturl.at/tuBW1
MTR-01,รศ.ดร.มิติ รุจานุรักษ์,วิทัศน์สเตอริโอเพื่อประเมินพื้นที่ในการลงจอดอัตโนมัติของอากาศยานปีกยึด,Stereo Vision for Fixed-Wing Aerial Vehicle Landing Area Evaluation,https://youtu.be/IEgl41fu2ik,https://youtu.be/_8nv2xxuBVA
MTR-02,รศ.ดร.มิติ รุจานุรักษ์,อุปกรณ์ตรวจจับวันหมดอายุบนฉลากผลิตภัณฑ์เน้นการออกแบบผลิตภัณฑ์และการเรียนรู้เชิงลึกหลายกล้อง,Expiration data detection using machine vision focused on product and deep learning for multi camera,https://youtu.be/_L1PHKBd1Ls,https://youtu.be/_3QH7nB42Vg
NAR01,อ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,สถานีชาร์จรถยนต์ไฟฟ้าจากพลังงานแสงอาทิตย์,EV solar charging station,https://youtu.be/CoTYGrTS7DA,https://youtu.be/geaPG5-YTwY
NAR-02,อ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,"การนำระบบแผงโซลาเซลล์บนโครงสร้างที่ลอยอยู่ในนำ้
 มาใช้ในการเกษตร",Apply Floating Solar In Agricultural Farming,https://youtu.be/0qE2XUluhmU,https://youtu.be/yDaAO49Ww1E
NAR-03,อ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,การติดตั้ง PV บนเกาะพิทักษ์เพื่อสิ่งแวดล้อม,Apply PV with Eco-Friendly Phithak Island,https://youtu.be/xH6LhdRmcuQ,https://youtu.be/UXsD2sRarSo
NAR-03,อ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,การติดตั้ง PV บนเกาะพิทักษ์เพื่อสิ่งแวดล้อม,Apply PV with Eco-Friendly Phithak Island,https://youtu.be/xH6LhdRmcuQ,https://youtu.be/UXsD2sRarSo
NAR-04,อ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,การประยุกต์ใช้พลังงานเเสงอาทิตย์เเละเทคโนโลยีการอนุรักษ์พลังงานในอพาร์ตเมนต์,Implementation of Solar Energy and Energy Conservation Technology in Green Apartment,https://youtu.be/VMLZdwlyoPM,https://youtu.be/mIEQ-iFXa5c
NAR-05,อ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,ออกแบบแผงเซลล์เเสงอาทิตย์สำหรับระบบที่ไม่จำเป็นต้องพึ่งพาระบบพลังงานไฟฟ้าจากส่วนกลางเพื่อการเกษตร,Design an Off-grid PV System for Agricultural Purpose,https://youtu.be/Sy9BZyWltcQ,https://youtu.be/rYU8yBVcODg
NAR-06,อ.ดร. ณิชเบญญา จันทนจุลกะ ฤกษ์หร่าย,การนำแนวคิดอาคารพลังงานศูนย์มาใช้กับอาคารวิศวกรรมไฟฟ้า,Apply zero energy building concept with Electrical Engineering Building,https://youtu.be/-rQVVMoYVFk,https://youtu.be/nRCttZtVIcU
NPTE-01,ผศ.ดร. นิธิพัฒน์ ทีรฆวณิช,การออกแบบวงจรบูสต์คอนเวอเตอร์หลายอินพุตสำหรับระบบPV,Design of Multi-Input Single Output for PV System,https://youtu.be/mAFWVuKz81k,https://youtu.be/gSU_a7g-dUA
NPTE-02,ผศ.ดร. นิธิพัฒน์ ทีรฆวณิช,การศึกษาสมรรถนะรถยนต์ไฟฟ้าที่ใช้แบตเตอรี่แบบเปลี่ยนได้,The Study on Performance of an Electric Vehicle with Swappable Batteries,https://youtu.be/EVaLbiginG0,https://youtu.be/m01Q51ZYK5Y
NPTE-03,ผศ.ดร. นิธิพัฒน์ ทีรฆวณิช,การวิเคราะห์พฤติกรรมการใช้ไฟฟ้าจากบิลค่าไฟ,Load profile estimation from electric bills,https://youtu.be/EiJgKJouTOo,https://youtu.be/gEkVeURpBS0
NRT-01,อ.ดร. เนาวรัตน์ เทพหริรักษ์,การศึกษาระบบเก็บข้อมูลและแสดงผลแบบออนไลน์เพื่อประยุกต์ใช้ในการเกษตรระบบไฮโดรโปนิกส์,A Study of Online Data Storage and Monitoring System for Application in Hydroponics Farming Systems,https://youtu.be/sumCvM8kD_E,https://youtu.be/PC5_Pq6uGVk
NRT-02,อ.ดร. เนาวรัตน์ เทพหริรักษ์,การศึกษาแผนการดำเนินธุรกิจของพลังงานแสงอาทิตย์ที่ติดตั้งบนหลังคา,A Study of Solar PV Rooftop Business Model,https://youtu.be/_7fD4HWBSdE,https://youtu.be/XEQl7h5J2ao
NRT-03,อ.ดร. เนาวรัตน์ เทพหริรักษ์,การศึกษาระบบกักเก็บพลังงานแบบไฮบริดเพื่อประยุกต์ใช้งานร่วมกับพลังงานหมุนเวียน,A Study of Hybrid Energy Storage Systems for Renewable Energy Application,https://youtu.be/ZQd_fK_Un_Y,https://youtu.be/IM9GeGNWmcY
NRT-04,อ.ดร. เนาวรัตน์ เทพหริรักษ์,การศึกษารูปแบบการจัดเรียงสายป้อนในระบบโครงข่ายไฟฟ้าอัจฉริยะ,A study of network reconfiguration in smart grid system,https://youtu.be/pLv7hAvZwMI,https://youtu.be/L5kKh5mCnRE
NRT-05,อ.ดร. เนาวรัตน์ เทพหริรักษ์,การศึกษาวิธีการประเมินสภาพหม้อแปลงไฟฟ้าในสถานีย่อย,A Study of Condition Method for Electrical Transformer in Substation,https://youtu.be/RuW9w-EiPK0,https://youtu.be/RUZwmRuRgQg
NRT-07,อ.ดร. เนาวรัตน์ เทพหริรักษ์,การศึกษาการไหลของกำลังไฟฟ้าที่เหมาะสมที่สุดสำหรับโครงข่ายไฟฟ้าอัจฉริยะที่มีการเชื่อมต่อแหล่งจ่ายพลังงานหมุนเวียน,A study on optimal power flow for smart grid with renewable energy sources,https://youtu.be/6TCpNgx3CnA,https://youtu.be/FEhRPpRZuFc
NRT-08,อ.ดร. เนาวรัตน์ เทพหริรักษ์,การออกแบบระบบไฟฟ้าสำหรับอาคารสีเขียว,Electrical Systems Design for a Green Building,https://www.youtube.com/watch?v=x8cjCAPBShI,https://www.youtube.com/watch?v=Bn4tVZLAeWs
NWC-01,อ.ณัฐวุฒิ ชินธเนศ,ระบบติดตามย้อนกลับในกระบวนการผลิตโดยใช้ PLC ร่วมกับระบบฐานข้อมูล,Traceability System in Production Process By using PLC with Database System,https://youtu.be/i8GYNsxAUII,https://youtu.be/_vyyUt8vMhM
NWC-02,อ.ณัฐวุฒิ ชินธเนศ,แอนดรอยด์แอปพลิเคชันบนโทรศัพท์มือถือร่วมกับ PLC และระบบฐานข้อมูลสำหรับควบคุมอัตโนมัติในงานอุตสาหกรรม,Android application on mobile phone with PLC and database system for automatic industrial control,https://youtu.be/WKekt0AZgfA,https://youtu.be/ICdTPrFtVvk
NWK-02,รศ.ณัฐวุฒิ ขวัญแก้ว,ระบบควบคุมการเคลื่อนที่ของหุ่นยนต์เพื่อการศึกษา โดยใช้ Lidar แบบวัดระยะด้วยตัวรับรู้ชนิด Time-of-Flight,"Educational robot motion control system using sensor-based distance measurement lidar, Time-of-Flight",https://www.youtube.com/watch?v=x3cR8oDTUCg,https://www.youtube.com/watch?v=k1fKfnw8YZA
PIR-01,อ.ดร. พิสุทธิ์ รพีศักดิ์,การวิเคราะห์ข้อมูลของแบบจําลองอุณหภูมิสําหรับมอเตอร์ซิงโครนัสชนิดแม่เหล็กถาวรในรถยนต์ไฟฟ้า,Big Data Analytics of a temperature model of permanent magnet synchronous motors in electric vehicles.,shorturl.at/bimsM,shorturl.at/tM689
PIR-02,อ.ดร. พิสุทธิ์ รพีศักดิ์,การวิเคราะห์ข้อมูลขนาดใหญ่ในระบบไฟฟ้ากำลังเกี่ยวกับโรงไฟฟ้าพลังงานความร้อนร่วม,Big Data Analytics in Power System about Combined Cycle Power Plant,https://youtu.be/FKvdeplytV0,https://youtu.be/NrIfczxVylA
PIR-03,อ.ดร. พิสุทธิ์ รพีศักดิ์,การพัฒนาของแบบจำลองสำหรับพยากรณ์การผลิตไฟฟ้าของเซลล์แสงอาทิตย์,Development of a predict model for solar power generation,https://youtu.be/BJ5tSh26oCE,https://youtu.be/LF1KUTBy5cI
PST-01,ผศ.ดร.พันศักดิ์ เทียนวิบูลย์,การแนะนำวิธีรักษาโรคไตด้วยการเรียนรู้ของเครื่อง,Machine Learning for Recommending Kidney-Disease Treatment,https://youtu.be/SQHwT59J-Sc,https://youtu.be/zZUBRPNoT_E
PST-02,ผศ.ดร.พันศักดิ์ เทียนวิบูลย์,การจำแนกผู้ป่วยโรคอัลไซเมอร์แบบอัตโนมัติด้วยภาพเอ็มอาร์ไอและการเรียนรู้ของเครื่อง,Automated Classification of Alzheimer's Disease using MRI Images and Machine Learning Techniques,https://youtu.be/mN1lSOM3snQ,https://youtu.be/6hzx2851k8U
PST-03,ผศ.ดร.พันศักดิ์ เทียนวิบูลย์,การศึกษาและวิเคราะห์การจำแนกประเภทรูปภาพโดยใช้การเรียนรู้ของเครื่อง,Study and Analysis of image Classification using Machine Learning,https://youtu.be/uP-tdLYRmcQ,https://youtu.be/BO80z2Eq3EM
PYP-01,รศ.ดร.พีระยศ แสนโภชน์,ยานพาหนะนำทางอัตโนมัติในระบบการผลิตโดยใช้ ROS และ Gazebo,Automated Guided Vehicle in Manufacturing System using ROS and Gazebo,https://bit.ly/3LULSmT,https://bit.ly/3JngtIf
PYP-02,รศ.ดร.พีระยศ แสนโภชน์,การทำงานร่วมของแขนหุ่นยนต์และสายพานในงานระบบอุตสาหกรรมอัตโนมัติ (สถานีที่ 2),Robot Manipulator and Conveyor Cooperation in Industrial Automation (Station 2),https://www.youtube.com/watch?v=qtIyhJ7CdIU,https://www.youtube.com/watch?v=rkQeumyUfz8
PYP-03,รศ.ดร.พีระยศ แสนโภชน์,"การศึกษาอุณหภูมิภายในห้องที่ใช้ระบบปรับอากาศ โดยการใช้โปรแกรม Ansys 
(กรณีศึกษา การประยุกต์ใช้กับระบบเครื่องปรับอากาศที่มีระบบเสาเข็มพลังงาน)","A Study of Room Temperature with Air Conditioning System by using Ansys Program 
(Case Study: Application for Air Conditioner with Energy Pile System)",https://youtu.be/z9D2E6VsAJg,https://youtu.be/HwMx1PD8QAI
PYP-04,รศ.ดร.พีระยศ แสนโภชน์,การทำงานร่วมของแขนหุ่นยนต์และสายพานในงานระบบอุตสาหกรรมอัตโนมัติ (สถานีที่ 1),Robot Manipulator and Conveyor Cooperation in Industrial Automation (Station 1),https://www.youtube.com/watch?v=q8dk1Bn5CB0,https://www.youtube.com/watch?v=6NEQZ9F521U
PYP-05,รศ.ดร.พีระยศ แสนโภชน์,"ระบบจัดเก็บและแสดงผลข้อมูลเซนเซอร์บนระบบคลาวด์โดยใช้ราสเบอร์รี่พาย
(กรณีศึกษา การประยุกต์ใช้กับระบบเครื่องปรับอากาศที่มีระบบเสาเข็มพลังงาน)","Cloud-Based Storage and Display of Sensor Data using Raspberry Pi
(Case Study: Application for Air Conditioner with Energy Pile System)",https://www.youtube.com/watch?v=jgZzolyWchc&ab_channel=NP,https://www.youtube.com/watch?v=bxRI3DRMWog&ab_channel=NP
PYP-06,รศ.ดร.พีระยศ แสนโภชน์,ยานพาหนะไร้คนขับโดยใช้ ROS และ Raspberry Pi,Autonomous vehicle using ROS and Raspberry Pi,https://www.youtube.com/watch?v=yC3G34BvnYE,https://www.youtube.com/watch?v=phxkMnUZCus
SCDT-01,ผศ.ดร.สัญชัย เดชานุภาพฤทธา,การหาค่าความสามารถในการส่งกำลังไฟฟ้าคงเหลือระหว่างสองพื้นที่ที่ต่อถึงกัน,Determination of available transfer capability between interconnected areas,https://youtu.be/Xurixhk14WA,https://youtu.be/Xz6JhOEXVxk
SCDT-01,ผศ.ดร.สัญชัย เดชานุภาพฤทธา,การหาค่าความสามารถในการส่งกำลังไฟฟ้าคงเหลือระหว่างสองพื้นที่ที่ต่อถึงกัน,Determination of available transfer capability between interconnected areas,https://youtu.be/Xurixhk14WA,https://youtu.be/Xz6JhOEXVxk
SCDT-02,ผศ.ดร.สัญชัย เดชานุภาพฤทธา,การประเมินสถานะโครงข่ายจำหน่ายไฟฟ้า,State Estimation of Distribution Network,https://youtu.be/7xxV9XmE1Ys,https://youtu.be/vdrcR68PbDs
SCDT-03,ผศ.ดร.สัญชัย เดชานุภาพฤทธา,การประเมินสถานะและคำตอบกำลังไหลในโครงข่ายจำหน่ายไฟฟ้า,State estimation and power flow solution of distribution network,https://youtu.be/wIpZbXNaiOA,https://youtu.be/x5p-Q8Qo9_E
SIR-01,รศ.ดร. ศิริโรจน์ ศิริสุขประเสริฐ,การศึกษาและออกแบบระบบไฟฟ้าสาธารณะในเมืองใหญ่,A Study and Design of Smart Street Lighting System in Metropolis,https://youtu.be/7Wjj7JjRInI,https://youtu.be/68vTYwdGJk8
SIR-02,รศ.ดร. ศิริโรจน์ ศิริสุขประเสริฐ,การจัดการพลังงานไฟฟ้าด้วยเทคโนโลยีแบตเตอรี่,Electrical Energy Management with Battery Technology,https://youtu.be/Bk5z2zVRWXo,https://youtu.be/chOFQNo3ERc
SIR-03,รศ.ดร. ศิริโรจน์ ศิริสุขประเสริฐ,"การปรับปรุงคุณภาพแรงดันไฟฟ้าในระบบจำหน่ายด้วยโรงไฟฟ้าพลังงานแสงอาทิตย์
ที่มีฟังก์ชันอุปกรณ์ชดเชยซิงโครนัสสถิต","Voltage Quality Improvement in Distribution System
Utilized Photovoltaic Power Generation with STATCOM Function","
https://bit.ly/3O95t54 ",https://bit.ly/37IFZuc 
SJM-01,รศ.ดร.ศรีจิตรา เจริญลาภนพรัตน์,การใช้ Smart contracts เพื่อจัดการห้องเช่า,Smart contracts for manage rental asset,https://youtu.be/xPhMBNwQmFw,https://youtu.be/Pcjh35Jruoo
SJM-02,รศ.ดร.ศรีจิตรา เจริญลาภนพรัตน์,Smart Contract กับธุรกิจเช่ารถยนต์,Smart Contracts for Car rental Business,https://youtu.be/8CaDpo4LwC8,https://youtu.be/xR9EVW8mDTQ
SJM-02,รศ.ดร.ศรีจิตรา เจริญลาภนพรัตน์,Smart Contract กับธุรกิจเช่ารถยนต์,Smart Contracts for Car rental Business,https://youtu.be/8CaDpo4LwC8,https://youtu.be/xR9EVW8mDTQ
SJM-02,รศ.ดร.ศรีจิตรา เจริญลาภนพรัตน์,Smart Contract กับธุรกิจเช่ารถยนต์,Smart Contracts for Car rental Business,https://youtu.be/8CaDpo4LwC8,https://youtu.be/xR9EVW8mDTQ
SYT-01,รศ.ดร.สมหญิง ไทยนิมิต,ข้อปฏิบัติในการติดตั้งสถานีอัดประจุยานยนต์ไฟฟ้าสำหรับที่อยู่อาศัย,Best practice for EV charger stations installation for residential,https://www.youtube.com/watch?v=yb13V61wXus,https://www.youtube.com/watch?v=6T5wzVMjeVM
TSK-01,ผศ.ดร.ธีรสิทธิ์ เกษตรเกษม,ปัญญาประดิษฐ์สำหรับการซื้อขายในตลาดหุ้น,Machine learning for stock market trading,https://youtu.be/frJfMjzRPMg,https://youtu.be/-WazLO-GGMo
UNT-01,รศ.ดร.อุศนา ตัณฑุลเวศม์,รหัสทอร์นาโดที่ถูกดัดแปลงสำหรับช่องสัญญาณที่มีความผิดพลาดและสูญหาย,Modified Tornado Codes for Error-Erasure Channels,https://youtu.be/Jdf8u4wlwvw,https://youtu.be/TZSftaUYaXA
UNT-02,รศ.ดร.อุศนา ตัณฑุลเวศม์,"การส่งผ่านข้อความด้วยการตัดสินใจแบบฮาร์ด
สำหรับการร้องขอให้ส่งซ้ำบางส่วน","Hard-Decision Message-Passing for
Partial Retransmission ARQ",https://youtu.be/pLE6lHoi2WM,https://youtu.be/4H_OhQg6okI
VPA-01,ศ.ดร.วุฒิพงศ์ อารีกุล,การแบ่งแยกสถานะแผลโดยภาพถ่ายจากสมาร์ทโฟน,Smartphone Wound Image Classification,https://youtu.be/IbasRS6o-2c,https://youtu.be/noDyoUk9b5c
VPA-02,ศ.ดร.วุฒิพงศ์ อารีกุล,การตรวจจับภาพถ่ายนิ้วปลอมจากสมาร์ทโฟน,Smartphone Finger Photo Spoof Detection,https://youtu.be/_EAEs_6rkFQ,https://youtu.be/9746k_GZ3-c
VPA-02,ศ.ดร.วุฒิพงศ์ อารีกุล,การตรวจจับภาพถ่ายนิ้วปลอมจากสมาร์ทโฟน,Smartphone Finger Photo Spoof Detection,https://youtu.be/_EAEs_6rkFQ,https://youtu.be/9746k_GZ3-c
VPA-03,ศ.ดร.วุฒิพงศ์ อารีกุล,การประมวลภาพนิ้วจากสมาร์ทโฟนและการรู้จำ,Smartphone Finger Photo Processing and Recognition,https://shorturl.asia/I9Wc3,https://shorturl.asia/cW7Fh
VPA-03,ศ.ดร.วุฒิพงศ์ อารีกุล,การประมวลภาพนิ้วจากสมาร์ทโฟน,Smartphone Finger Photo Processing,https://shorturl.asia/I9Wc3,https://shorturl.asia/cW7Fh
WKP-01,อ.ดร.วิชชุกร ภู่ทอง,การวิเคราะห์พื้นผิวระดับนาโนของโครงสร้าง Au/ITO/Glass ที่เกี่ยวข้องกับการทำลายโมเลกุลบนพื้นผิว,"Nanoscale surface scanning analysis of Au/ITO/glass
structures associated with on-surface degradation",https://youtu.be/uFubQFrXsfI,https://youtu.be/ZY4HEivXbkQ
WNP-01,ผศ.ดร.วินัย พฤกษะวัน,การป้องกันฟ้าผ่าสำหรับอาคารคอนกรีต,Lightning protection for concrete buildings,https://youtu.be/i747lPqhwDk,https://youtu.be/53yjjM52dBo
WNP-02,ผศ.ดร.วินัย พฤกษะวัน,ศึกษาการเกิดมลภาวะในระบบจำหน่าย,Study of Pollution on Distribution Line,https://www.youtube.com/watch?v=vVP3EfhPIE4,https://www.youtube.com/watch?v=IJm4QFK_aQI
WNP-03,ผศ.ดร.วินัย พฤกษะวัน,การบำรุงรักษาแบตเตอรี่และชาร์เจอร์สำหรับสถานีไฟฟ้ากรณี gel battery,Maintenance Batteries and Charger for Power station - Gel battery,https://youtu.be/j6KWVNFqrhc,https://youtu.be/jDxPtACyktc
WNP04,ผศ.ดร.วินัย พฤกษะวัน,แนวทางการบำรุงรักษาสายเคเบิลใต้ดินในระบบจำหน่าย,Distribution System Underground Cable Maintenance Guidelines,https://youtu.be/2C3fXtdMmFU,https://youtu.be/d2BFp2XgXs0
WNP-05,ผศ.ดร.วินัย พฤกษะวัน,การวัดพารามิเตอร์ของฟ้าผ่าด้วยการกระตุ้นด้วยจรวดเล็ก,Measurement of Lightning Parameters with small-rocket triggered lightning,https://youtu.be/t5LLxbEW-sM,https://youtu.be/tAbINaKmTiQ
WNP-06,ผศ.ดร.วินัย พฤกษะวัน,ชุดป้องกันไฟฟ้าในภาวะน้ำท่วม,Electric Safety Suit in Flooding,https://youtu.be/5uvD5D5Lydw,https://youtu.be/Ktd-4i8J9dY
WNP-07,ผศ.ดร.วินัย พฤกษะวัน,เครือข่ายตรวจจับฟ้าผ่าในบริเวณกว้าง,Lightning Detection Network for Wide Area (LINET & Schumann Resonance),https://youtu.be/UrIF7Tc_2HI,https://youtu.be/0aQzVw8S8kc
WNP-08,ผศ.ดร.วินัย พฤกษะวัน,การป้องการเสิร์จในระบบไฟฟ้าและสื่อสาร,Surge Protection in Electrical & Communication Systems,https://youtu.be/iUkjudmvUaY,https://youtu.be/2dDOUDUgeug
WNP-09,ผศ.ดร.วินัย พฤกษะวัน,การเลือกอุปกรณ์ป้องกันฟ้าผ่าตามมาตรฐาน มอก.,Selection of LPS components complying with Thai industrial standard,https://youtu.be/oG3lTYPNB2o,https://youtu.be/Gruw4lCJorw
WWK-01,ผศ.ดร.วีรวุฒิ กนกบรรณกร,ผลของระบบผลิตไฟฟ้าแบบกระจายตัวต่อการควบคุมแรงดันในระบบจำหน่าย,Impact of distributed generation on voltage regulation in distribution system,https://bit.ly/3KAc2LA,https://bit.ly/3652PMi
WWK-02,ผศ.ดร.วีรวุฒิ กนกบรรณกร,การศึกษาระบบควบคุมเครื่องกำเนิดไฟฟ้าซิงโครนัส,The Study of Synchronous Generator Control,https://youtu.be/y7RHV9rvZeU,https://youtu.be/-t1G-fYSdfE
WWK-03,ผศ.ดร.วีรวุฒิ กนกบรรณกร,การศึกษาเสถียรภาพของเครื่องกำเนิดไฟฟ้าซิงโครนัส,The Transient Stability Study of Synchronous Generator,https://youtu.be/8NYzeauK_so,https://youtu.be/BzmaYYWWgrI
